PlayerID,Age,SubscriptionLength,PlayTimePerWeek,InGamePurchases,CustomerSupportCalls,Churn
1,22,12,8.5,15.3,0,No
2,35,24,20.1,50.5,1,Yes
3,28,6,5.2,10,2,No
4,40,18,12.8,75.2,1,No
5,21,8,6.9,5,0,Yes
6,33,10,15.4,30,2,No
7,27,14,9.8,25.5,1,No
8,19,5,75,12,0,Yes
9,42,30,22.3,95.8,3,No
10,29,7,4.5,8.2,0,Yes
11,31,15,10.3,45,1,No
12,26,9,13.7,35.4,2,No
13,38,20,19.2,85.3,3,No
14,25,4,3.5,6,0,Yes
15,34,22,11.4,55.2,1,No
16,30,16,9.9,28.6,2,No
17,23,12,7.6,20.5,0,No
18,41,28,21.7,120,3,No
19,20,6,5.9,10.2,1,Yes
20,37,18,14.5,60.8,2,No
21,23,14,7.8,18.2,1,No
22,35,24,19.5,60.3,2,Yes
23,27,8,5,12.1,0,No
24,42,30,22.7,110.8,3,No
25,20,5,4.2,6.7,1,Yes
26,33,12,15.2,40,2,No
27,29,16,8.9,24.8,1,No
28,21,6,6.4,14,0,Yes
29,39,28,20.3,1058.5,3,No
30,26,7,3.8,9,0,Yes
31,31,18,10.8,50.2,1,No
32,25,10,12.9,30.6,2,No
33,38,22,17.5,80.4,3,No
34,24,4,2.9,5.2,0,Yes
35,34,20,14.7,58.3,1,No
36,28,14,9.3,26.9,2,No
37,22,11,6.7,18.7,0,No
38,41,32,24.1,125,3,No
39,19,7,5.5,9.8,1,Yes
40,37,21,13.8,65.5,2,No
41,30,9,8.2,22.1,1,No
42,27,13,11.4,45.7,2,No
43,40,26,21.5,100.3,3,No
44,29,6,4.1,8.5,0,Yes
45,32,19,16,55.2,1,No
46,26,12,9.7,32.6,2,No
47,39,25,19.1,85.9,3,No
48,23,5,3.4,7.2,0,Yes
49,35,23,15.3,60.9,1,No
50,28,15,10.5,28.5,2,No
51,31,10,7.2,20,1,No
52,27,14,12.5,45,2,No
53,42,29,23.8,115.7,3,No
54,25,6,4.8,10,0,Yes
55,33,20,14.1,58.9,1,No
56,29,12,9,26.3,2,No
57,22,11,6,15.5,0,No
58,40,27,22,98,3,No
59,21,8,5.1,8.7,1,Yes
60,38,24,17.2,75.5,2,No
61,30,10,8.7,24.5,1,No
62,26,15,11.1,42,2,No
63,41,31,25.3,120.2,3,No
64,28,7,4.6,9.3,0,Yes
65,34,22,13.9,65,1,No
66,27,13,10,31.8,2,No
67,23,9,7.5,17.4,0,No
68,39,28,21,110.7,3,No
69,19,5,4,6.8,1,Yes
70,37,19,14.3,62.5,2,No
71,22,10,9.4,20.1,1,No
72,34,18,15.8,60.5,2,No
73,27,6,5.1,10.7,0,Yes
74,40,25,20.3,110.2,3,No
75,19,8,6.2,7.5,1,Yes
76,32,14,12.6,42,2,No
77,29,10,8.3,25.4,1,No
78,21,5,4.8,12,0,Yes
79,84,360,23,95.9,3,No
80,28,7,4.5,9.6,0,Yes
81,30,17,10.1,52.7,1,No
82,25,9,11.5,35.2,2,No
83,38,22,19,85.6,3,No
84,24,4,2.9,5.8,0,Yes
85,36,21,14.2,58,1,No
86,27,12,9.7,26.5,2,No
87,22,11,7.2,20.3,0,No
88,40,28,22.5,125.8,3,No
89,19,6,5.9,8.2,1,Yes
90,37,19,14,65,2,No
91,29,8,7.5,18.7,1,No
92,26,13,11.2,48.5,2,No
93,42,29,24.5,120.3,3,No
94,28,6,3.9,6.9,0,Yes
95,33,20,13.8,57.5,1,No
96,30,12,8.9,30.7,2,No
97,21,10,6.3,15.9,0,No
98,39,27,21.1,105.4,3,No
99,19,7,4.7,7.5,1,Yes
100,35,23,16.4,72.2,2,No
